discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,main_category,sub_category
399.0,1099.0,64.0,4.2,24269.0,"Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems good",Computers&Accessories,Accessories&Peripherals
199.0,349.0,43.0,4.0,43994.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit",Computers&Accessories,Accessories&Peripherals
199.0,1899.0,90.0,3.9,7928.0,"Good speed for earlier versions,Good Product,Working good,Good for the price,Good,Worth for money,Working nice,it's a really nice product",Computers&Accessories,Accessories&Peripherals
329.0,699.0,53.0,4.2,94363.0,"Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it's charging like jet",Computers&Accessories,Accessories&Peripherals
154.0,399.0,61.0,4.2,16905.0,"As good as original,Decent,Good one for secondary use,Best quality,GOOD,Amazing product at a mind blowing price!,Nice Quality,Good product",Computers&Accessories,Accessories&Peripherals
149.0,1000.0,85.0,3.9,24871.0,"It's pretty good,Average quality,very good and useful usb cable,Good USB cable. My experience was very good it is long lasting,Good,Nice product and useful,-,Sturdy but does not support 33w charging",Computers&Accessories,Accessories&Peripherals
176.63,499.0,65.0,4.1,15188.0,"Long durable.,good,Does not charge Lenovo m8 tab,Best charging cable,good,Boat,Product was good,1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।",Computers&Accessories,Accessories&Peripherals
229.0,299.0,23.0,4.3,30411.0,"Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging.",Computers&Accessories,Accessories&Peripherals
499.0,999.0,50.0,4.2,179691.0,"Works on linux for me. Get the model with antenna.,Does what it say but other brands available at lesser price,Easy Handle,Great product,Perfect working,Speed is perfect,Great Design, Build, Connectivity Range, Packaging and other features but no linux support since v2,Very good",Computers&Accessories,NetworkingDevices
199.0,299.0,33.0,4.0,43994.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit",Computers&Accessories,Accessories&Peripherals
154.0,339.0,55.0,4.3,13391.0,"Good for fast charge but not for data transfer,Good cable compares to local the brand.,good but doesnt last,Good product,Good Product,Good and worth it,very good material quality charging speed is 15 watt,Not a fast charger",Computers&Accessories,Accessories&Peripherals
299.0,799.0,63.0,4.2,94363.0,"Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it's charging like jet",Computers&Accessories,Accessories&Peripherals
219.0,700.0,69.0,4.4,426973.0,"It's quite good and value for money,Works well,Hdmi cable,Value for money,All good,Gets the job done,Delivery was good,This one was my need to purchase",Electronics,"HomeTheater,TV&Video"
350.0,899.0,61.0,4.2,2262.0,"Works,Nice Product,Fast Charging as original,Good for data transfer,Average. Cost effective,Good quality,Great Product,Nice",Computers&Accessories,Accessories&Peripherals
159.0,399.0,60.0,4.1,4768.0,"Great but,Worked well for 6 six months that’s it,Compatible with Apple iPad 2nd generation and charging very well.,CABLE,The product is good but the phone gets disconnected at multiple occasions.,Not a fast charging cable,Good item. Value,Amazing product and value for money",Computers&Accessories,Accessories&Peripherals
349.0,399.0,13.0,4.4,18757.0,"Good product,using this product 8months It is done  I have not faced any problem so far, its build quality best,I really liked this one.,Very strong and support fast charging ,,Nice cable,Best data cable charging fast,Good job,Good but need some improvement",Computers&Accessories,Accessories&Peripherals
13999.0,24999.0,44.0,4.2,32840.0,"It is the best tv if you are getting it in 10-12k,Good price but the OS lags,GARBAGE QUALITY,Good product.,Good quality,Great experience everything is fantastic 🤠,Super picture quality and sound quality,Awesome",Electronics,"HomeTheater,TV&Video"
249.0,399.0,38.0,4.0,43994.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit",Computers&Accessories,Accessories&Peripherals
199.0,499.0,60.0,4.1,13045.0,"Good for charging and Data transfer,ਮਜ਼ਬੂਤ,Good Quality but less Power Delivery,Fantastic!,Good,Not useful,Doesn't fit properly,Can't support Oppo mobile for fast charging",Computers&Accessories,Accessories&Peripherals
13490.0,21990.0,39.0,4.3,11976.0,"Sound quality,Very nice,Value for money,Good,Good for its price.,Good item,Budget friendly,Good",Electronics,"HomeTheater,TV&Video"
970.0,1799.0,46.0,4.5,815.0,"Good cable for car,Good substitute for orginal,Better Value for money Product,Way better than the original,Absolutely amazing.,Namm hi kafi hai,Very good,As the names say Durable cell it a durable cable ;-)",Computers&Accessories,Accessories&Peripherals
279.0,499.0,44.0,3.7,10962.0,"Good product ; Average Finishing,Save it purpose well without any issue. I am satisfied,No issues,NO NEED TO PUT AUX CABLE FOR CONNECTING AUDIO FROM SECONDARY MONITOR,Good product,Not so Bad,Good,Worked will for only 3-4 months.",Electronics,"HomeTheater,TV&Video"
13490.0,22900.0,41.0,4.3,16299.0,"Good,Sound is very low another brand comparing in better,Service provider not meet my home refuse, tv i am not using bad service,Good product,Ok super,Floor stand does not come with it ...,Good,A budget friendly TV with a clumsy UI and Remote",Electronics,"HomeTheater,TV&Video"
59.0,199.0,70.0,4.0,9378.0,"Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get charging cable at the price,Working well.",Computers&Accessories,Accessories&Peripherals
11499.0,19990.0,42.0,4.3,4703.0,"Wonderful TV and Awful installation service from amazon,Acer Television Review,It's a good product for that price.,Good for the price,Almost a complete package,Nice Product,Good product,Super designed",Electronics,"HomeTheater,TV&Video"
199.0,699.0,72.0,4.2,12153.0,"Cheap product and same is the performance but does the job,Good,No Box!!!,Good,Value for money,A very good quality cable with rubust built, and it does the work.,Value money,Good product.",Electronics,"HomeTheater,TV&Video"
14999.0,19999.0,25.0,4.2,34899.0,"Worthy and most affordable - Great TV,Good product,It's really worth the money but,Better product in this budget,Product review,nice tv,Best product,Budget friendly TV",Electronics,"HomeTheater,TV&Video"
299.0,399.0,25.0,4.0,2766.0,"Ok cable,three pin with hybrid wire,Sturdy,Nice,Good.,So good,CarPlay Not supported,पैसा वसूल 🙂",Computers&Accessories,Accessories&Peripherals
970.0,1999.0,51.0,4.4,184.0,"Very good product.,Using as a spare cable in car,Sturdy, Durable, Fast Charging!,Good brand,It’s like original apple cable,One of the best wire ..,Super well build. Quality product worth the money,Good product",Computers&Accessories,Accessories&Peripherals
299.0,999.0,70.0,4.3,20850.0,"Just buy it dont even 2nd guess it,Quality is good,Nylon braided quiet sturdy,Amazing,Feels like steel harnessed wire - strong,Sturdy and durable. Useful for charging Power Banks,good,Nice quality",Computers&Accessories,Accessories&Peripherals
199.0,750.0,73.0,4.5,74976.0,"Nice,good,Paisa vassol,Sturdy and long.,Good for the price and great quality.,Works as expected,Good,Good",Computers&Accessories,Accessories&Peripherals
179.0,499.0,64.0,4.0,1934.0,"Good product,Good for charging, bad for data transfer,Wait  to get mexmum discount.,The cable quality is best and charging pin is at right position to stand 👍🏻,So far super,Good,Good but issues with design,Maine ₹99 me liya hai offer me or ye worth hai.",Computers&Accessories,Accessories&Peripherals
389.0,1099.0,65.0,4.3,974.0,"Great Cable, Charging Speeds Could Be Better,Good,A good cable.,One of the best type c cable,Works as intended.,A good buy. The extra length helps a lot.,Good,Ok",Computers&Accessories,Accessories&Peripherals
599.0,599.0,0.0,4.3,355.0,"Good,Genuine product,Not first charge this cabil,,Nice cable but known durability,Got a used type c to c cable and the xable was damaged,The product is Genuine and Good,Abdul kadir,Good",Computers&Accessories,Accessories&Peripherals
199.0,999.0,80.0,3.9,1075.0,"The metal pin is losing it's strength,Sahi h bs 44 rupe ki and dilivery charge 40,Good Charging cable,Good sturdy micro usb cable with good charging speeds,Cheapest micro USB cable in the market,boat is better than this,I bought this for 199rs best charging cable for all mobiles,Good",Computers&Accessories,Accessories&Peripherals
99.0,666.66,85.0,3.9,24871.0,"It's pretty good,Average quality,very good and useful usb cable,Good USB cable. My experience was very good it is long lasting,Good,Nice product and useful,-,Sturdy but does not support 33w charging",Computers&Accessories,Accessories&Peripherals
899.0,1900.0,53.0,4.4,13552.0,"Good,Worth to buy,Great value for price,Good product,Nice product.,Reliable and worth it!,Much more sturdy and durable than Apple cable,Good",Computers&Accessories,Accessories&Peripherals
199.0,999.0,80.0,4.0,576.0,"Worth it!,Good one,Robust and effective.,Good,Good,It's a good product under 199 rupees It's neatly packed and has good quality built,Nice product,Worth the price",Computers&Accessories,Accessories&Peripherals
32999.0,45999.0,28.0,4.2,7298.0,"Decent product. Value for money.,Value for money,Improvements Needed,Everything thing good except the installation experience,Overall taking all aspects TV is good within the price point,Tv installation services,One among the good TVs in the market.,Picture",Electronics,"HomeTheater,TV&Video"
970.0,1999.0,51.0,4.2,462.0,"Product is as expected,Cable has problem with samsung galaxy s8 ultra tablet,Quality and service is good.,It's perfect, definitely what i needed,Worth buying this cable,Just awesome 👌,fast charge, sturdy build quality, absolute value for money product, 2yrs warranty, just go for it,Good",Computers&Accessories,Accessories&Peripherals
209.0,695.0,70.0,4.5,107687.0,"Functionality as described,Working,Great USB in budget,Good,Good,It just works,Works with my Casio ct-x700 well,Still working after 3 months",Computers&Accessories,Accessories&Peripherals
19999.0,34999.0,43.0,4.3,27151.0,"DETAILED REVIEW after 3 WEEKS of Usage !!!,Priceworthy.,It's a good product,Good,Vivid picture quality is stunning,SUPER DEAL,Value for money,Very nice",Electronics,"HomeTheater,TV&Video"
399.0,1099.0,64.0,4.2,24269.0,"Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems good",Computers&Accessories,Accessories&Peripherals
999.0,1599.0,38.0,4.3,12093.0,"Dual Bandwidth,It's good,Simple and effective,Easy plug and play,Only 200mbps support,Great Device for Old Laptops,Good device but be careful for a defective one.,Excellent Speeds and Coverage!",Computers&Accessories,NetworkingDevices
59.0,199.0,70.0,4.0,9378.0,"Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get charging cable at the price,Working well.",Computers&Accessories,Accessories&Peripherals
